date,Bitcoin_views,Ethereum_views,Litecoin_views,Dogecoin_views,Binance_views,Coinbase_views,BTC_Close,BTC_Volume
2019-01-05,11166,1726,481,507,406,528,3845.19458,5137609824.0
2019-01-06,10823,1633,627,545,428,512,4076.632568,5597027440.0
2019-01-07,11844,1920,591,707,515,598,4025.248291,5228625637.0
2019-01-08,11247,2230,507,730,459,643,4030.8479,5306593305.0
2019-01-09,11613,2074,449,688,485,511,4035.296387,5115905225.0
2019-01-10,11469,1864,446,703,495,558,3678.924561,6874143796.0
2019-01-11,11253,1785,438,643,480,490,3687.365479,5538712865.0
2019-01-12,9969,1621,308,527,422,375,3661.301025,4778170883.0
2019-01-13,10447,1528,395,533,361,433,3552.953125,4681302466.0
2019-01-14,10517,2220,453,680,458,527,3706.052246,5651384490.0
2019-01-15,8976,2287,401,680,507,648,3630.675293,5537192302.0
2019-01-16,8694,2007,394,611,525,602,3655.006836,5394457145.0
2019-01-17,8474,1773,494,632,476,515,3678.563965,5464420383.0
2019-01-18,9388,1845,454,642,425,511,3657.839355,5002961727.0
2019-01-19,7062,1145,370,641,363,375,3728.568359,5955691380.0
2019-01-20,6958,1081,357,516,344,380,3601.013672,5582489560.0
2019-01-21,8011,1376,397,562,482,498,3576.032471,5004347059.0
2019-01-22,8145,1519,374,571,495,531,3604.577148,5313623556.0
2019-01-23,8351,1461,395,613,499,535,3585.123047,5433755649.0
